field_num	field	attr_1	attr_2	attr_3	attr_4	attr_5	attr_6	attr_7
1	codeBook	ID	xml:lang	version	xsi:schemaLocation	xmlns	xmlns:xsi	
2	codeBook/docDscr							
3	codeBook/docDscr/citation							
4	codeBook/docDscr/citation/titlStmt							
5	codeBook/docDscr/citation/titlStmt/titl							
6	codeBook/docDscr/citation/titlStmt/subTitl							
7	codeBook/docDscr/citation/titlStmt/altTitl							
8	codeBook/docDscr/citation/titlStmt/parTitl							
9	codeBook/docDscr/citation/titlStmt/IDNo							
10	codeBook/docDscr/citation/rspStmt							
11	codeBook/docDscr/citation/rspStmt/AuthEnty	affiliation						
12	codeBook/docDscr/citation/rspStmt/othId	affiliation						
13	codeBook/docDscr/citation/rspStmt/othId/p							
14	codeBook/docDscr/citation/prodStmt							
15	codeBook/docDscr/citation/prodStmt/producer	abbr	affiliation	role				
16	codeBook/docDscr/citation/prodStmt/copyright							
17	codeBook/docDscr/citation/prodStmt/prodDate	date						
18	codeBook/docDscr/citation/prodStmt/software	version	date					
19	codeBook/docDscr/citation/distStmt							
20	codeBook/docDscr/citation/distStmt/distrbtr	abbr	affiliation	URI				
21	codeBook/docDscr/citation/distStmt/contact	affiliation	URI	email				
22	codeBook/docDscr/citation/distStmt/depositr							
23	codeBook/docDscr/citation/distStmt/distDate	date						
24	codeBook/docDscr/docSrc							
25	codeBook/docDscr/docSrc/titlStmt							
26	codeBook/docDscr/docSrc/titlStmt/titl							
27	codeBook/docDscr/docSrc/rspStmt							
28	codeBook/docDscr/docSrc/rspStmt/AuthEnty							
29	codeBook/docDscr/docSrc/prodStmt							
30	codeBook/docDscr/docSrc/prodStmt/producer							
31	codeBook/docDscr/docSrc/distStmt							
32	codeBook/docDscr/docSrc/distStmt/distrbtr							
33	codeBook/docDscr/docSrc/distStmt/contact							
34	codeBook/docDscr/docSrc/distStmt/depositr							
35	codeBook/stdyDscr							
36	codeBook/stdyDscr/citation							
37	codeBook/stdyDscr/citation/titlStmt							
38	codeBook/stdyDscr/citation/titlStmt/titl	xml:lang						
39	codeBook/stdyDscr/citation/titlStmt/subTitl							
40	codeBook/stdyDscr/citation/titlStmt/altTitl							
41	codeBook/stdyDscr/citation/titlStmt/parTitl	xml:lang						
42	codeBook/stdyDscr/citation/titlStmt/IDNo	agency						
43	codeBook/stdyDscr/citation/rspStmt							
44	codeBook/stdyDscr/citation/rspStmt/AuthEnty	affiliation						
45	codeBook/stdyDscr/citation/rspStmt/othId	affiliation						
46	codeBook/stdyDscr/citation/rspStmt/othId/p							
47	codeBook/stdyDscr/citation/prodStmt							
48	codeBook/stdyDscr/citation/prodStmt/producer	abbr	affiliation	role				
49	codeBook/stdyDscr/citation/prodStmt/prodDate	date						
50	codeBook/stdyDscr/citation/prodStmt/prodPlac							
51	codeBook/stdyDscr/citation/prodStmt/software	version	date					
52	codeBook/stdyDscr/citation/prodStmt/fundAg	abbr	role					
53	codeBook/stdyDscr/citation/prodStmt/grantNo							
54	codeBook/stdyDscr/citation/distStmt							
55	codeBook/stdyDscr/citation/distStmt/distrbtr	abbr	affiliation	URI				
56	codeBook/stdyDscr/citation/distStmt/contact	affiliation	URI	email				
57	codeBook/stdyDscr/citation/distStmt/depositr	abbr	affiliation					
58	codeBook/stdyDscr/citation/distStmt/depDate	date						
59	codeBook/stdyDscr/citation/distStmt/distDate	date						
60	codeBook/stdyDscr/citation/serStmt							
61	codeBook/stdyDscr/citation/serStmt/serName							
62	codeBook/stdyDscr/citation/serStmt/serInfo							
63	codeBook/stdyDscr/citation/verStmt							
64	codeBook/stdyDscr/citation/verStmt/version	date						
65	codeBook/stdyDscr/citation/verStmt/notes							
66	codeBook/stdyDscr/citation/biblCit							
67	codeBook/stdyDscr/stdyInfo							
68	codeBook/stdyDscr/stdyInfo/subject							
69	codeBook/stdyDscr/stdyInfo/subject/keyword	vocab	vocabURI					
70	codeBook/stdyDscr/stdyInfo/subject/topcClas	vocab	vocabURI					
71	codeBook/stdyDscr/stdyInfo/abstract							
72	codeBook/stdyDscr/stdyInfo/abstract/ExtLink	URI	role	title				
73	codeBook/stdyDscr/stdyInfo/sumDscr							
74	codeBook/stdyDscr/stdyInfo/sumDscr/timePrd	date	event					
75	codeBook/stdyDscr/stdyInfo/sumDscr/collDate	date	event	cycle				
76	codeBook/stdyDscr/stdyInfo/sumDscr/nation	abbr						
77	codeBook/stdyDscr/stdyInfo/sumDscr/geogCover							
78	codeBook/stdyDscr/stdyInfo/sumDscr/geogUnit							
79	codeBook/stdyDscr/stdyInfo/sumDscr/anlyUnit	unit						
80	codeBook/stdyDscr/stdyInfo/sumDscr/universe							
81	codeBook/stdyDscr/stdyInfo/sumDscr/dataKind	type						
82	codeBook/stdyDscr/method							
83	codeBook/stdyDscr/method/dataColl							
84	codeBook/stdyDscr/method/dataColl/timeMeth	method						
85	codeBook/stdyDscr/method/dataColl/dataCollector	abbr	affiliation					
86	codeBook/stdyDscr/method/dataColl/frequenc							
87	codeBook/stdyDscr/method/dataColl/sampProc							
88	codeBook/stdyDscr/method/dataColl/sampProc/ExtLink	URI	title					
89	codeBook/stdyDscr/method/dataColl/deviat							
90	codeBook/stdyDscr/method/dataColl/collMode							
91	codeBook/stdyDscr/method/dataColl/collMode/ExtLink	URI	title					
92	codeBook/stdyDscr/method/dataColl/collMode/txt							
93	codeBook/stdyDscr/method/dataColl/resInstru	type						
94	codeBook/stdyDscr/method/dataColl/collSitu							
95	codeBook/stdyDscr/method/dataColl/actMin							
96	codeBook/stdyDscr/method/dataColl/weight/ExtLink	URI	title					
97	codeBook/stdyDscr/method/dataColl/weight							
98	codeBook/stdyDscr/method/dataColl/cleanOps							
99	codeBook/stdyDscr/method/dataColl/sources							
100	codeBook/stdyDscr/method/dataColl/sources/dataSrc							
101	codeBook/stdyDscr/method/notes	subject						
102	codeBook/stdyDscr/method/anlyInfo							
103	codeBook/stdyDscr/method/anlyInfo/respRate							
104	codeBook/stdyDscr/dataAccs							
105	codeBook/stdyDscr/dataAccs/setAvail							
106	codeBook/stdyDscr/dataAccs/setAvail/accsPlac	URI						
107	codeBook/stdyDscr/dataAccs/setAvail/origArch							
108	codeBook/stdyDscr/dataAccs/setAvail/avlStatus							
109	codeBook/stdyDscr/dataAccs/setAvail/fileQnty							
110	codeBook/stdyDscr/dataAccs/useStmt							
